Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
11/27/2017,37394,22885,60279,10531,4094,14625,12785,17482,22885,40367,2509,5287
11/28/2017,37433,22908,60341,10540,4095,14635,12799,17498,22908,40406,2516,5300
11/29/2017,37464,22911,60375,10542,4116,14658,12792,17484,22911,40395,2526,5322
11/30/2017,37400,22830,60230,10531,4105,14636,12773,17451,22830,40281,2522,5313
12/01/2017,37262,22887,60149,10449,4067,14516,12784,17455,22887,40342,2510,5291
12/02/2017,37259,22905,60164,10490,4056,14546,12794,17467,22905,40372,2489,5246
12/03/2017,37372,22916,60288,10534,4078,14612,12810,17492,22916,40408,2498,5268
12/04/2017,37414,22934,60348,10525,4070,14595,12826,17521,22934,40455,2512,5298
12/05/2017,37413,22918,60331,10531,4077,14608,12810,17517,22918,40435,2507,5288
12/06/2017,37569,22966,60535,10600,4114,14714,12844,17565,22966,40531,2506,5290
12/07/2017,37516,22936,60452,10579,4112,14691,12827,17540,22936,40476,2506,5285
12/08/2017,37438,22903,60341,10572,4081,14653,12809,17516,22903,40419,2497,5269
12/09/2017,37442,22927,60369,10562,4077,14639,12825,17537,22927,40464,2496,5266
12/10/2017,37528,22980,60508,10604,4077,14681,12848,17570,22980,40550,2503,5277
12/12/2017,37522,22929,60451,10606,4098,14704,12822,17532,22929,40461,2507,5286
12/13/2017,37594,22916,60510,10648,4109,14757,12821,17533,22916,40449,2517,5304
12/14/2017,37646,22947,60593,10665,4119,14784,12826,17542,22947,40489,2524,5320
12/15/2017,37628,22957,60585,10641,4093,14734,12833,17557,22957,40514,2532,5337
12/16/2017,37521,22926,60447,10577,4093,14670,12819,17536,22926,40462,2520,5315
12/17/2017,37580,22929,60509,10628,4100,14728,12815,17541,22929,40470,2520,5311
12/18/2017,37575,22905,60480,10626,4103,14729,12806,17526,22905,40431,2522,5320
12/19/2017,37523,22835,60358,10634,4093,14727,12772,17489,22835,40324,2516,5307
12/20/2017,37530,22829,60359,10650,4094,14744,12774,17478,22829,40307,2515,5308
12/21/2017,37563,22820,60383,10643,4092,14735,12785,17487,22820,40307,2530,5341
12/22/2017,37484,22824,60308,10621,4080,14701,12765,17467,22824,40291,2517,5316
12/23/2017,37391,22785,60176,10584,4055,14639,12744,17438,22785,40223,2517,5314
12/24/2017,37401,22806,60207,10589,4049,14638,12755,17453,22806,40259,2516,5310
12/25/2017,37456,22830,60286,10621,4051,14672,12774,17471,22830,40301,2518,5313
12/26/2017,37468,22760,60228,10660,4069,14729,12742,17415,22760,40175,2523,5324
12/27/2017,37365,22668,60033,10632,4086,14718,12684,17345,22668,40013,2512,5302
12/28/2017,37387,22692,60079,10657,4051,14708,12710,17375,22692,40067,2513,5304
12/29/2017,37356,22694,60050,10632,4034,14666,12722,17384,22694,40078,2513,5306
12/30/2017,37322,22695,60017,10627,4030,14657,12716,17384,22695,40079,2503,5281
12/31/2017,37248,22685,59933,10564,4012,14576,12707,17379,22685,40064,2507,5293
01/01/2018,37388,22711,60099,10644,4039,14683,12721,17396,22711,40107,2516,5309
01/02/2018,37444,22682,60126,10695,4064,14759,12706,17377,22682,40059,2516,5308
01/03/2018,37301,22542,59843,10684,4047,14731,12619,17279,22542,39821,2507,5291
01/04/2018,37461,22636,60097,10706,4061,14767,12691,17385,22636,40021,2516,5309
01/05/2018,37354,22566,59920,10688,4049,14737,12638,17303,22566,39869,2517,5314
01/06/2018,37313,22579,59892,10686,4027,14713,12644,17312,22579,39891,2504,5288
01/07/2018,37435,22657,60092,10698,4044,14742,12693,17388,22657,40045,2512,5305
01/08/2018,37505,22655,60160,10715,4079,14794,12696,17398,22655,40053,2514,5313
01/09/2018,37449,22595,60044,10746,4064,14810,12664,17350,22595,39945,2505,5289
01/10/2018,37481,22627,60108,10762,4068,14830,12686,17366,22627,39993,2503,5285
01/11/2018,37571,22725,60296,10776,4087,14863,12747,17448,22725,40173,2492,5260
01/12/2018,37454,22759,60213,10689,4047,14736,12744,17457,22759,40216,2494,5261
01/13/2018,37467,22710,60177,10723,4058,14781,12716,17420,22710,40130,2496,5266
01/14/2018,37641,22760,60401,10807,4082,14889,12759,17476,22760,40236,2500,5276
01/15/2018,37667,22813,60480,10774,4110,14884,12777,17496,22813,40309,2505,5287
01/16/2018,37655,22786,60441,10792,4092,14884,12771,17485,22786,40271,2504,5286
01/17/2018,37718,22813,60531,10805,4115,14920,12793,17511,22813,40324,2506,5287
01/18/2018,37777,22783,60560,10812,4150,14962,12775,17479,22783,40262,2530,5336
01/19/2018,37742,22795,60537,10792,4136,14928,12801,17500,22795,40295,2519,5314
01/20/2018,37742,22888,60630,10782,4104,14886,12848,17556,22888,40444,2511,5300
01/21/2018,37829,22874,60703,10834,4124,14958,12847,17571,22874,40445,2511,5300
01/21/2018,37829,22874,60703,10834,4124,14958,12847,17571,22874,40445,2511,5300
01/22/2018,37823,22824,60647,10877,4123,15000,12817,17527,22824,40351,2511,5296
01/23/2018,37852,22880,60732,10883,4137,15020,12835,17553,22880,40433,2502,5279
01/24/2018,37891,22904,60795,10893,4138,15031,12856,17561,22904,40465,2513,5299
01/25/2018,37926,22919,60845,10920,4126,15046,12874,17596,22919,40515,2505,5284
01/26/2018,37916,22927,60843,10905,4122,15027,12876,17595,22927,40522,2505,5294
01/27/2018,37875,22922,60797,10902,4114,15016,12874,17591,22922,40513,2494,5268
01/28/2018,37931,22930,60861,10939,4120,15059,12883,17603,22930,40533,2493,5269
01/29/2018,37973,22930,60903,10913,4145,15058,12870,17602,22930,40532,2516,5313
01/30/2018,38009,22906,60915,10976,4143,15119,12853,17580,22906,40486,2515,5310
01/31/2018,38088,22950,61038,10989,4150,15139,12878,17619,22950,40569,2524,5330
02/01/2018,38059,22970,61029,10997,4128,15125,12894,17636,22970,40606,2512,5298
02/02/2018,37976,22974,60950,10974,4101,15075,12887,17629,22974,40603,2500,5272
02/03/2018,38019,22983,61002,10988,4116,15104,12891,17629,22983,40612,2506,5286
02/04/2018,38047,22978,61025,10999,4128,15127,12889,17628,22978,40606,2509,5292
02/05/2018,38040,22985,61025,11011,4111,15122,12882,17614,22985,40599,2515,5304
02/06/2018,38038,22964,61002,11009,4151,15160,12870,17598,22964,40562,2503,5280
02/07/2018,38108,22967,61075,11033,4175,15208,12872,17597,22967,40564,2514,5303
02/08/2018,38053,22918,60971,11042,4164,15206,12851,17572,22918,40490,2501,5275
02/09/2018,38035,22891,60926,11032,4164,15196,12853,17579,22891,40470,2492,5260
02/10/2018,37885,22831,60716,10980,4144,15124,12812,17512,22831,40343,2488,5249
02/11/2018,37939,22853,60792,11024,4171,15195,12815,17513,22853,40366,2479,5231
02/12/2018,37963,22791,60754,11043,4184,15227,12786,17479,22791,40270,2491,5257
02/13/2018,37978,22782,60760,11071,4188,15259,12779,17472,22782,40254,2489,5247
02/14/2018,37969,22786,60755,11055,4183,15238,12784,17477,22786,40263,2491,5254
02/15/2018,38009,22766,60775,11078,4203,15281,12782,17474,22766,40240,2490,5254
02/16/2018,37900,22693,60593,11026,4184,15210,12760,17442,22693,40135,2487,5248
02/17/2018,37835,22651,60486,11018,4193,15211,12737,17406,22651,40057,2472,5218
02/18/2018,37899,22662,60561,11058,4188,15246,12743,17423,22662,40085,2479,5230
02/19/2018,37930,22622,60552,11086,4211,15297,12725,17395,22622,40017,2483,5238
02/20/2018,37909,22620,60529,11062,4195,15257,12737,17410,22620,40030,2485,5242
02/21/2018,37874,22598,60472,11094,4187,15281,12722,17372,22598,39970,2474,5221
02/22/2018,37916,22654,60570,11118,4189,15307,12739,17385,22654,40039,2477,5224
02/23/2018,37839,22639,60478,11047,4189,15236,12736,17382,22639,40021,2474,5221
02/24/2018,37769,22597,60366,11056,4186,15242,12709,17348,22597,39945,2453,5179
02/25/2018,37824,22603,60427,11107,4183,15290,12702,17336,22603,39939,2461,5198
02/26/2018,37870,22600,60470,11119,4190,15309,12702,17337,22600,39937,2473,5224
02/27/2018,37837,22620,60457,11109,4179,15288,12715,17350,22620,39970,2462,5199
02/28/2018,37800,22643,60443,11063,4162,15225,12718,17361,22643,40004,2466,5214
03/01/2018,37732,22652,60384,11038,4127,15165,12730,17361,22652,40013,2462,5206
03/02/2018,37776,22647,60423,11051,4133,15184,12727,17362,22647,40009,2474,5230
03/03/2018,37684,22600,60284,11007,4152,15159,12707,17331,22600,39931,2458,5194
03/04/2018,37730,22633,60363,11042,4154,15196,12721,17353,22633,39986,2452,5181
03/05/2018,37806,22613,60419,11107,4167,15274,12707,17320,22613,39933,2466,5212
03/06/2018,37758,22636,60394,11080,4161,15241,12696,17314,22636,39950,2461,5203
03/07/2018,37847,22641,60488,11143,4158,15301,12704,17329,22641,39970,2469,5217
03/08/2018,37835,22671,60506,11119,4152,15271,12716,17352,22671,40023,2466,5212
03/09/2018,37769,22586,60355,11088,4157,15245,12680,17314,22586,39900,2465,5210
03/10/2018,37681,22601,60282,11077,4121,15198,12675,17304,22601,39905,2451,5179
03/11/2018,37795,22621,60416,11113,4169,15282,12691,17324,22621,39945,2456,5189
03/12/2018,37849,22600,60449,11127,4168,15295,12676,17317,22600,39917,2480,5237
03/13/2018,37782,22520,60302,11134,4174,15308,12644,17258,22520,39778,2470,5216
03/14/2018,37786,22550,60336,11122,4178,15300,12665,17274,22550,39824,2468,5212
